,country,year,value,short name,short_name
235,North America,1980,16.48681,Unknown,Unknown
236,Bermuda,1980,0,Bermuda,Bermuda
237,Canada,1980,0.96156,Canada,Canada
238,Greenland,1980,0.00005,Greenland,Greenland
239,Mexico,1980,0.10239,Mexico,Mexico
240,Saint Pierre and Miquelon,1980,0,St. Pierre and Miquelon,St. Pierre and Miquelon
241,United States,1980,15.42281,United States,United States
242,Central & South America,1980,0.42101,Unknown,Unknown
243,Antarctica,1980,0,Antarctica,Antarctica
244,Antigua and Barbuda,1980,0,Antigua and Barbuda,Antigua and Barbuda
245,Argentina,1980,0.03476,Argentina,Argentina
246,Aruba,1980,--,Aruba,Aruba
247,"Bahamas, The",1980,0,Bahamas,Bahamas
248,Barbados,1980,0,Barbados,Barbados
249,Belize,1980,0,Belize,Belize
250,Bolivia,1980,0.00003,Bolivia,Bolivia
251,Brazil,1980,0.21533,Brazil,Brazil
252,Cayman Islands,1980,0,Cayman Islands,Cayman Islands
253,Chile,1980,0.04851,Chile,Chile
254,Colombia,1980,0.10287,Colombia,Colombia
255,Costa Rica,1980,0.00003,Costa Rica,Costa Rica
256,Cuba,1980,0.00448,Cuba,Cuba
257,Dominica,1980,0,Dominica,Dominica
258,Dominican Republic,1980,0,Dominican Republic,Dominican Republic
259,Ecuador,1980,0,Ecuador,Ecuador
260,El Salvador,1980,0.00003,El Salvador,El Salvador
261,Falkland Islands (Islas Malvinas),1980,0,Falkland Islands,Falkland Islands
262,French Guiana,1980,0,French Guiana,French Guiana
263,Grenada,1980,0,Grenada,Grenada
264,Guadeloupe,1980,0,Guadeloupe,Guadeloupe
265,Guatemala,1980,0.00061,Guatemala,Guatemala
266,Guyana,1980,0,Guyana,Guyana
267,Haiti,1980,0,Haiti,Haiti
268,Honduras,1980,0,Honduras,Honduras
269,Jamaica,1980,0.00003,Jamaica,Jamaica
270,Martinique,1980,0,Martinique,Martinique
271,Montserrat,1980,0,Montserrat,Montserrat
272,Netherlands Antilles,1980,0,Unknown,Unknown
273,Nicaragua,1980,0,Nicaragua,Nicaragua
274,Panama,1980,0.00005,Panama,Panama
275,Paraguay,1980,0,Paraguay,Paraguay
276,Peru,1980,0.00595,Peru,Peru
277,Puerto Rico,1980,0,Puerto Rico,Puerto Rico
278,Saint Kitts and Nevis,1980,0,St. Kitts and Nevis,St. Kitts and Nevis
279,Saint Lucia,1980,0,St. Lucia,St. Lucia
280,Saint Vincent/Grenadines,1980,0,St. Vincent and the Grenadines,St. Vincent and the Grenadines
281,Suriname,1980,0.00003,Suriname,Suriname
282,Trinidad and Tobago,1980,0,Trinidad and Tobago,Trinidad and Tobago
283,Turks and Caicos Islands,1980,0,Turks and Caicos Islands,Turks and Caicos Islands
284,Uruguay,1980,0.00012,Uruguay,Uruguay
285,Venezuela,1980,0.00818,Venezuela,Venezuela
286,"Virgin Islands,  U.S.",1980,0,United States Virgin Islands,United States Virgin Islands
287,"Virgin Islands, British",1980,0,British Virgin Islands,British Virgin Islands
288,Europe,1980,19.5846,Unknown,Unknown
289,Albania,1980,0.01721,Albania,Albania
290,Austria,1980,0.13123,Austria,Austria
291,Belgium,1980,0.40122,Belgium,Belgium
292,Bosnia and Herzegovina,1980,--,Bosnia and Herzegovina,Bosnia and Herzegovina
293,Bulgaria,1980,0.37186,Bulgaria,Bulgaria
294,Croatia,1980,--,Croatia,Croatia
295,Cyprus,1980,0,Cyprus,Cyprus
296,Czech Republic,1980,--,Czech Republic,Czech Republic
297,Denmark,1980,0.24766,Denmark,Denmark
298,Faroe Islands,1980,0,Faeroe Islands,Faeroe Islands
299,Finland,1980,0.17864,Finland,Finland
300,Former Czechoslovakia,1980,1.52402,Czech Republic,Czech Republic
301,Former Serbia and Montenegro,1980,--,Unknown,Unknown
302,Former Yugoslavia,1980,0.58895,Unknown,Unknown
303,France,1980,1.28681,France,France
304,Germany,1980,--,Germany,Germany
305,"Germany, East",1980,2.44026,Unknown,Unknown
306,"Germany, West",1980,2.98956,Unknown,Unknown
307,Gibraltar,1980,0,Gibraltar,Gibraltar
308,Greece,1980,0.15001,Greece,Greece
309,Hungary,1980,0.31946,Hungary,Hungary
310,Iceland,1980,0.00077,Iceland,Iceland
311,Ireland,1980,0.02852,Ireland,Ireland
312,Italy,1980,0.45444,Italy,Italy
313,Kosovo,1980,--,Kosovo,Kosovo
314,Luxembourg,1980,0.06929,Luxembourg,Luxembourg
315,Macedonia,1980,--,Macedonia,Macedonia
316,Malta,1980,0.00003,Malta,Malta
317,Montenegro,1980,--,Montenegro,Montenegro
318,Netherlands,1980,0.15234,Netherlands,Netherlands
319,Norway,1980,0.03865,Norway,Norway
320,Poland,1980,3.85271,Poland,Poland
321,Portugal,1980,0.01701,Portugal,Portugal
322,Romania,1980,0.48174,Romania,Romania
323,Serbia,1980,--,Serbia,Serbia
324,Slovakia,1980,--,Slovakia,Slovakia
325,Slovenia,1980,--,Slovenia,Slovenia
326,Spain,1980,0.52915,Spain,Spain
327,Sweden,1980,0.06552,Sweden,Sweden
328,Switzerland,1980,0.01251,Switzerland,Switzerland
329,Turkey,1980,0.25161,Turkey,Turkey
330,United Kingdom,1980,2.98343,United Kingdom,United Kingdom
331,Eurasia,1980,11.45935,Unknown,Unknown
332,Armenia,1980,--,Armenia,Armenia
333,Azerbaijan,1980,--,Azerbaijan,Azerbaijan
334,Belarus,1980,--,Belarus,Belarus
335,Estonia,1980,--,Estonia,Estonia
336,Former U.S.S.R.,1980,11.45935,Unknown,Unknown
337,Georgia,1980,--,Georgia,Georgia
338,Kazakhstan,1980,--,Kazakhstan,Kazakhstan
339,Kyrgyzstan,1980,--,Kyrgyz Republic,Kyrgyz Republic
340,Latvia,1980,--,Latvia,Latvia
341,Lithuania,1980,--,Lithuania,Lithuania
342,Moldova,1980,--,Moldova,Moldova
343,Russia,1980,--,Russia,Russia
344,Tajikistan,1980,--,Tajikistan,Tajikistan
345,Turkmenistan,1980,--,Turkmenistan,Turkmenistan
346,Ukraine,1980,--,Ukraine,Ukraine
347,Uzbekistan,1980,--,Uzbekistan,Uzbekistan
348,Middle East,1980,0.02776,Unknown,Unknown
349,Bahrain,1980,0,Bahrain,Bahrain
350,Iran,1980,0.02743,Iran,Iran
351,Iraq,1980,0.00003,Iraq,Iraq
352,Israel,1980,0.00003,Israel,Israel
353,Jordan,1980,0,Jordan,Jordan
354,Kuwait,1980,0,Kuwait,Kuwait
355,Lebanon,1980,0.00017,Lebanon,Lebanon
356,Oman,1980,0,Oman,Oman
357,Palestinian Territories,1980,--,Palestine,Palestine
358,Qatar,1980,0,Qatar,Qatar
359,Saudi Arabia,1980,0,Saudi Arabia,Saudi Arabia
360,Syria,1980,0.00011,Syria,Syria
361,United Arab Emirates,1980,0,United Arab Emirates,United Arab Emirates
362,Yemen,1980,0,Yemen,Yemen
363,Africa,1980,2.25784,Unknown,Unknown
364,Algeria,1980,0.01703,Algeria,Algeria
365,Angola,1980,0,Angola,Angola
366,Benin,1980,0,Benin,Benin
367,Botswana,1980,0.009,Botswana,Botswana
368,Burkina Faso,1980,0,Burkina Faso,Burkina Faso
369,Burundi,1980,0,Burundi,Burundi
370,Cameroon,1980,0,Cameroon,Cameroon
371,Cape Verde,1980,0,Cabo Verde,Cabo Verde
372,Central African Republic,1980,0,Central African Republic,Central African Republic
373,Chad,1980,0,Chad,Chad
374,Comoros,1980,0,Comoros,Comoros
375,Congo (Brazzaville),1980,0,Congo Republic,Congo Republic
376,Congo (Kinshasa),1980,0.00688,DR Congo,DR Congo
377,Cote dIvoire (IvoryCoast),1980,0,Cote d'Ivoire,Cote d'Ivoire
378,Djibouti,1980,0,Djibouti,Djibouti
379,Egypt,1980,0.02266,Egypt,Egypt
380,Equatorial Guinea,1980,0,Equatorial Guinea,Equatorial Guinea
381,Eritrea,1980,--,Eritrea,Eritrea
382,Ethiopia,1980,0,Ethiopia,Ethiopia
383,Gabon,1980,0,Gabon,Gabon
384,"Gambia, The",1980,0,Gambia,Gambia
385,Ghana,1980,0.00005,Ghana,Ghana
386,Guinea,1980,0,Guinea,Guinea
387,Guinea-Bissau,1980,0,Guinea-Bissau,Guinea-Bissau
388,Kenya,1980,0.00048,Kenya,Kenya
389,Lesotho,1980,0,Lesotho,Lesotho
390,Liberia,1980,0,Liberia,Liberia
391,Libya,1980,0.00003,Libya,Libya
392,Madagascar,1980,0.00026,Madagascar,Madagascar
393,Malawi,1980,0.00172,Malawi,Malawi
394,Mali,1980,0,Mali,Mali
395,Mauritania,1980,0.00016,Mauritania,Mauritania
396,Mauritius,1980,0.00003,Mauritius,Mauritius
397,Morocco,1980,0.03701,Morocco,Morocco
398,Mozambique,1980,0.00795,Mozambique,Mozambique
399,Namibia,1980,--,Namibia,Namibia
400,Niger,1980,0.00056,Niger,Niger
401,Nigeria,1980,0.00484,Nigeria,Nigeria
402,Reunion,1980,0,Reunion,Reunion
403,Rwanda,1980,0,Rwanda,Rwanda
404,Saint Helena,1980,0,St. Helena,St. Helena
405,Sao Tome and Principe,1980,0,Sao Tome and Principe,Sao Tome and Principe
406,Senegal,1980,0,Senegal,Senegal
407,Seychelles,1980,0,Seychelles,Seychelles
408,Sierra Leone,1980,0,Sierra Leone,Sierra Leone
409,Somalia,1980,0,Somalia,Somalia
410,South Africa,1980,2.05903,South Africa,South Africa
411,Sudan and South Sudan,1980,0,South Sudan,South Sudan
412,Swaziland,1980,0.00454,Eswatini,Eswatini
413,Tanzania,1980,0.00005,Tanzania,Tanzania
414,Togo,1980,0,Togo,Togo
415,Tunisia,1980,0.0024,Tunisia,Tunisia
416,Uganda,1980,0,Uganda,Uganda
417,Western Sahara,1980,0,Western Sahara,Western Sahara
418,Zambia,1980,0.01539,Zambia,Zambia
419,Zimbabwe,1980,0.06777,Zimbabwe,Zimbabwe
420,Asia & Oceania,1980,19.69262,Unknown,Unknown
421,Afghanistan,1980,0.00289,Afghanistan,Afghanistan
422,American Samoa,1980,0,American Samoa,American Samoa
423,Australia,1980,1.05036,Australia,Australia
424,Bangladesh,1980,0.00658,Bangladesh,Bangladesh
425,Bhutan,1980,0.00003,Bhutan,Bhutan
426,Brunei,1980,0.00005,Brunei Darussalam,Brunei Darussalam
427,Burma (Myanmar),1980,0.00156,Myanmar,Myanmar
428,Cambodia,1980,0,Cambodia,Cambodia
429,China,1980,12.29852,China,China
430,Cook Islands,1980,0,Cook Islands,Cook Islands
431,Fiji,1980,0.00048,Fiji,Fiji
432,French Polynesia,1980,0,French Polynesia,French Polynesia
433,Guam,1980,0,Guam,Guam
434,Hawaiian Trade Zone,1980,0,Unknown,Unknown
435,Hong Kong,1980,0.0007,Hong Kong,Hong Kong
436,India,1980,2.09389,India,India
437,Indonesia,1980,0.0156,Indonesia,Indonesia
438,Japan,1980,2.0996,Japan,Japan
439,Kiribati,1980,0,Kiribati,Kiribati
440,"Korea, North",1980,1.11857,North Korea,North Korea
441,"Korea, South",1980,0.53252,South Korea,South Korea
442,Laos,1980,0,Laos,Laos
443,Macau,1980,0.00011,Macau,Macau
444,Malaysia,1980,0.00205,Malaysia,Malaysia
445,Maldives,1980,0,Maldives,Maldives
446,Mongolia,1980,0.05696,Mongolia,Mongolia
447,Nauru,1980,0,Nauru,Nauru
448,Nepal,1980,0.00214,Nepal,Nepal
449,New Caledonia,1980,0.00272,New Caledonia,New Caledonia
450,New Zealand,1980,0.05685,New Zealand,New Zealand
451,Niue,1980,0,Niue,Niue
452,Pakistan,1980,0.04407,Pakistan,Pakistan
453,Papua New Guinea,1980,0,Papua New Guinea,Papua New Guinea
454,Philippines,1980,0.01598,Philippines,Philippines
455,Samoa,1980,0,Samoa,Samoa
456,Singapore,1980,0.00012,Singapore,Singapore
457,Solomon Islands,1980,0,Solomon Islands,Solomon Islands
458,Sri Lanka,1980,0.00005,Sri Lanka,Sri Lanka
459,Taiwan,1980,0.14675,Taiwan,Taiwan
460,Thailand,1980,0.01682,Thailand,Thailand
461,Timor-Leste (East Timor),1980,--,Timor-Leste,Timor-Leste
462,Tonga,1980,0,Tonga,Tonga
463,U.S. Pacific Islands,1980,0,Unknown,Unknown
464,Vanuatu,1980,0,Vanuatu,Vanuatu
465,Vietnam,1980,0.12665,Vietnam,Vietnam
466,Wake Island,1980,0,Unknown,Unknown
467,World,1980,69.92998,Unknown,Unknown
469,North America,1981,17.00366,Unknown,Unknown
470,Bermuda,1981,0,Bermuda,Bermuda
471,Canada,1981,0.99047,Canada,Canada
472,Greenland,1981,0.00005,Greenland,Greenland
473,Mexico,1981,0.10562,Mexico,Mexico
474,Saint Pierre and Miquelon,1981,0,St. Pierre and Miquelon,St. Pierre and Miquelon
475,United States,1981,15.90753,United States,United States
476,Central & South America,1981,0.41588,Unknown,Unknown
477,Antarctica,1981,0,Antarctica,Antarctica
478,Antigua and Barbuda,1981,0,Antigua and Barbuda,Antigua and Barbuda
479,Argentina,1981,0.03022,Argentina,Argentina
480,Aruba,1981,--,Aruba,Aruba
481,"Bahamas, The",1981,0.00069,Bahamas,Bahamas
482,Barbados,1981,0,Barbados,Barbados
483,Belize,1981,0,Belize,Belize
484,Bolivia,1981,0.00003,Bolivia,Bolivia
485,Brazil,1981,0.21184,Brazil,Brazil
486,Cayman Islands,1981,0,Cayman Islands,Cayman Islands
487,Chile,1981,0.04788,Chile,Chile
488,Colombia,1981,0.10676,Colombia,Colombia
489,Costa Rica,1981,0.00003,Costa Rica,Costa Rica
490,Cuba,1981,0.0045,Cuba,Cuba
491,Dominica,1981,0,Dominica,Dominica
492,Dominican Republic,1981,0,Dominican Republic,Dominican Republic
493,Ecuador,1981,0,Ecuador,Ecuador
494,El Salvador,1981,0.00003,El Salvador,El Salvador
495,Falkland Islands (Islas Malvinas),1981,0,Falkland Islands,Falkland Islands
496,French Guiana,1981,0,French Guiana,French Guiana
497,Grenada,1981,0,Grenada,Grenada
498,Guadeloupe,1981,0,Guadeloupe,Guadeloupe
499,Guatemala,1981,0.00059,Guatemala,Guatemala
500,Guyana,1981,0,Guyana,Guyana
501,Haiti,1981,0,Haiti,Haiti
502,Honduras,1981,0.00003,Honduras,Honduras
503,Jamaica,1981,0.00003,Jamaica,Jamaica
504,Martinique,1981,0,Martinique,Martinique
505,Montserrat,1981,0,Montserrat,Montserrat
506,Netherlands Antilles,1981,0,Unknown,Unknown
507,Nicaragua,1981,0,Nicaragua,Nicaragua
508,Panama,1981,0.00008,Panama,Panama
509,Paraguay,1981,0,Paraguay,Paraguay
510,Peru,1981,0.00605,Peru,Peru
511,Puerto Rico,1981,0,Puerto Rico,Puerto Rico
512,Saint Kitts and Nevis,1981,0,St. Kitts and Nevis,St. Kitts and Nevis
513,Saint Lucia,1981,0,St. Lucia,St. Lucia
514,Saint Vincent/Grenadines,1981,0,St. Vincent and the Grenadines,St. Vincent and the Grenadines
515,Suriname,1981,0.00003,Suriname,Suriname
516,Trinidad and Tobago,1981,0,Trinidad and Tobago,Trinidad and Tobago
517,Turks and Caicos Islands,1981,0,Turks and Caicos Islands,Turks and Caicos Islands
518,Uruguay,1981,0.0001,Uruguay,Uruguay
519,Venezuela,1981,0.007,Venezuela,Venezuela
520,"Virgin Islands,  U.S.",1981,0,United States Virgin Islands,United States Virgin Islands
521,"Virgin Islands, British",1981,0,British Virgin Islands,British Virgin Islands
522,Europe,1981,19.54371,Unknown,Unknown
523,Albania,1981,0.01999,Albania,Albania
524,Austria,1981,0.13661,Austria,Austria
525,Belgium,1981,0.49326,Belgium,Belgium
526,Bosnia and Herzegovina,1981,--,Bosnia and Herzegovina,Bosnia and Herzegovina
527,Bulgaria,1981,0.37625,Bulgaria,Bulgaria
528,Croatia,1981,--,Croatia,Croatia
529,Cyprus,1981,0,Cyprus,Cyprus
530,Czech Republic,1981,--,Czech Republic,Czech Republic
531,Denmark,1981,0.21292,Denmark,Denmark
532,Faroe Islands,1981,0,Faeroe Islands,Faeroe Islands
533,Finland,1981,0.15474,Finland,Finland
534,Former Czechoslovakia,1981,1.51565,Czech Republic,Czech Republic
535,Former Serbia and Montenegro,1981,--,Unknown,Unknown
536,Former Yugoslavia,1981,0.70496,Unknown,Unknown
537,France,1981,1.15886,France,France
538,Germany,1981,--,Germany,Germany
539,"Germany, East",1981,2.46353,Unknown,Unknown
540,"Germany, West",1981,3.03278,Unknown,Unknown
541,Gibraltar,1981,0,Gibraltar,Gibraltar
542,Greece,1981,0.16968,Greece,Greece
543,Hungary,1981,0.31716,Hungary,Hungary
544,Iceland,1981,0.00127,Iceland,Iceland
545,Ireland,1981,0.03477,Ireland,Ireland
546,Italy,1981,0.49823,Italy,Italy
547,Kosovo,1981,--,Kosovo,Kosovo
548,Luxembourg,1981,0.05611,Luxembourg,Luxembourg
549,Macedonia,1981,--,Macedonia,Macedonia
550,Malta,1981,0.00003,Malta,Malta
551,Montenegro,1981,--,Montenegro,Montenegro
552,Netherlands,1981,0.17603,Netherlands,Netherlands
553,Norway,1981,0.03581,Norway,Norway
554,Poland,1981,3.4645,Poland,Poland
555,Portugal,1981,0.01462,Portugal,Portugal
556,Romania,1981,0.53725,Romania,Romania
557,Serbia,1981,--,Serbia,Serbia
558,Slovakia,1981,--,Slovakia,Slovakia
559,Slovenia,1981,--,Slovenia,Slovenia
560,Spain,1981,0.70643,Spain,Spain
561,Sweden,1981,0.05572,Sweden,Sweden
562,Switzerland,1981,0.01898,Switzerland,Switzerland
563,Turkey,1981,0.24679,Turkey,Turkey
564,United Kingdom,1981,2.94081,United Kingdom,United Kingdom
565,Eurasia,1981,11.49459,Unknown,Unknown
566,Armenia,1981,--,Armenia,Armenia
567,Azerbaijan,1981,--,Azerbaijan,Azerbaijan
568,Belarus,1981,--,Belarus,Belarus
569,Estonia,1981,--,Estonia,Estonia
570,Former U.S.S.R.,1981,11.49459,Unknown,Unknown
571,Georgia,1981,--,Georgia,Georgia
572,Kazakhstan,1981,--,Kazakhstan,Kazakhstan
573,Kyrgyzstan,1981,--,Kyrgyz Republic,Kyrgyz Republic
574,Latvia,1981,--,Latvia,Latvia
575,Lithuania,1981,--,Lithuania,Lithuania
576,Moldova,1981,--,Moldova,Moldova
577,Russia,1981,--,Russia,Russia
578,Tajikistan,1981,--,Tajikistan,Tajikistan
579,Turkmenistan,1981,--,Turkmenistan,Turkmenistan
580,Ukraine,1981,--,Ukraine,Ukraine
581,Uzbekistan,1981,--,Uzbekistan,Uzbekistan
582,Middle East,1981,0.03203,Unknown,Unknown
583,Bahrain,1981,0,Bahrain,Bahrain
584,Iran,1981,0.02165,Iran,Iran
585,Iraq,1981,0.00003,Iraq,Iraq
586,Israel,1981,0.00995,Israel,Israel
587,Jordan,1981,0,Jordan,Jordan
588,Kuwait,1981,0,Kuwait,Kuwait
589,Lebanon,1981,0.00017,Lebanon,Lebanon
590,Oman,1981,0,Oman,Oman
591,Palestinian Territories,1981,--,Palestine,Palestine
592,Qatar,1981,0,Qatar,Qatar
593,Saudi Arabia,1981,0,Saudi Arabia,Saudi Arabia
594,Syria,1981,0.00024,Syria,Syria
595,United Arab Emirates,1981,0,United Arab Emirates,United Arab Emirates
596,Yemen,1981,0,Yemen,Yemen
597,Africa,1981,2.46755,Unknown,Unknown
598,Algeria,1981,0.02021,Algeria,Algeria
599,Angola,1981,0,Angola,Angola
600,Benin,1981,0,Benin,Benin
601,Botswana,1981,0.00922,Botswana,Botswana
602,Burkina Faso,1981,0,Burkina Faso,Burkina Faso
603,Burundi,1981,0,Burundi,Burundi
604,Cameroon,1981,0.00003,Cameroon,Cameroon
605,Cape Verde,1981,0,Cabo Verde,Cabo Verde
606,Central African Republic,1981,0,Central African Republic,Central African Republic
607,Chad,1981,0,Chad,Chad
608,Comoros,1981,0,Comoros,Comoros
609,Congo (Brazzaville),1981,0,Congo Republic,Congo Republic
610,Congo (Kinshasa),1981,0.0071,DR Congo,DR Congo
611,Cote dIvoire (IvoryCoast),1981,0,Cote d'Ivoire,Cote d'Ivoire
612,Djibouti,1981,0,Djibouti,Djibouti
613,Egypt,1981,0.03587,Egypt,Egypt
614,Equatorial Guinea,1981,0,Equatorial Guinea,Equatorial Guinea
615,Eritrea,1981,--,Eritrea,Eritrea
616,Ethiopia,1981,0,Ethiopia,Ethiopia
617,Gabon,1981,0,Gabon,Gabon
618,"Gambia, The",1981,0,Gambia,Gambia
619,Ghana,1981,0.00005,Ghana,Ghana
620,Guinea,1981,0,Guinea,Guinea
621,Guinea-Bissau,1981,0,Guinea-Bissau,Guinea-Bissau
622,Kenya,1981,0.00259,Kenya,Kenya
623,Lesotho,1981,0,Lesotho,Lesotho
624,Liberia,1981,0,Liberia,Liberia
625,Libya,1981,0.00003,Libya,Libya
626,Madagascar,1981,0.00032,Madagascar,Madagascar
627,Malawi,1981,0.00127,Malawi,Malawi
628,Mali,1981,0,Mali,Mali
629,Mauritania,1981,0.00016,Mauritania,Mauritania
630,Mauritius,1981,0.00005,Mauritius,Mauritius
631,Morocco,1981,0.03871,Morocco,Morocco
632,Mozambique,1981,0.00813,Mozambique,Mozambique
633,Namibia,1981,--,Namibia,Namibia
634,Niger,1981,0.00083,Niger,Niger
635,Nigeria,1981,0.00323,Nigeria,Nigeria
636,Reunion,1981,0,Reunion,Reunion
637,Rwanda,1981,0,Rwanda,Rwanda
638,Saint Helena,1981,0,St. Helena,St. Helena
639,Sao Tome and Principe,1981,0,Sao Tome and Principe,Sao Tome and Principe
640,Senegal,1981,0,Senegal,Senegal
641,Seychelles,1981,0,Seychelles,Seychelles
642,Sierra Leone,1981,0,Sierra Leone,Sierra Leone
643,Somalia,1981,0,Somalia,Somalia
644,South Africa,1981,2.25738,South Africa,South Africa
645,Sudan and South Sudan,1981,0,South Sudan,South Sudan
646,Swaziland,1981,0.00423,Eswatini,Eswatini
647,Tanzania,1981,0.00005,Tanzania,Tanzania
648,Togo,1981,0,Togo,Togo
649,Tunisia,1981,0.00276,Tunisia,Tunisia
650,Uganda,1981,0,Uganda,Uganda
651,Western Sahara,1981,0,Western Sahara,Western Sahara
652,Zambia,1981,0.01312,Zambia,Zambia
653,Zimbabwe,1981,0.06222,Zimbabwe,Zimbabwe
654,Asia & Oceania,1981,20.42132,Unknown,Unknown
655,Afghanistan,1981,0.00303,Afghanistan,Afghanistan
656,American Samoa,1981,0,American Samoa,American Samoa
657,Australia,1981,1.12029,Australia,Australia
658,Bangladesh,1981,0.00689,Bangladesh,Bangladesh
659,Bhutan,1981,0.00003,Bhutan,Bhutan
660,Brunei,1981,0,Brunei Darussalam,Brunei Darussalam
661,Burma (Myanmar),1981,0.00204,Myanmar,Myanmar
662,Cambodia,1981,0,Cambodia,Cambodia
663,China,1981,12.33199,China,China
664,Cook Islands,1981,0,Cook Islands,Cook Islands
665,Fiji,1981,0.00041,Fiji,Fiji
666,French Polynesia,1981,0,French Polynesia,French Polynesia
667,Guam,1981,0,Guam,Guam
668,Hawaiian Trade Zone,1981,0,Unknown,Unknown
669,Hong Kong,1981,0.00302,Hong Kong,Hong Kong
670,India,1981,2.44828,India,India
671,Indonesia,1981,0.01916,Indonesia,Indonesia
672,Japan,1981,2.27637,Japan,Japan
673,Kiribati,1981,0,Kiribati,Kiribati
674,"Korea, North",1981,1.15677,North Korea,North Korea
675,"Korea, South",1981,0.60294,South Korea,South Korea
676,Laos,1981,0,Laos,Laos
677,Macau,1981,0.00003,Macau,Macau
678,Malaysia,1981,0.00458,Malaysia,Malaysia
679,Maldives,1981,0,Maldives,Maldives
680,Mongolia,1981,0.04903,Mongolia,Mongolia
681,Nauru,1981,0,Nauru,Nauru
682,Nepal,1981,0.00111,Nepal,Nepal
683,New Caledonia,1981,0.00186,New Caledonia,New Caledonia
684,New Zealand,1981,0.05726,New Zealand,New Zealand
685,Niue,1981,0,Niue,Niue
686,Pakistan,1981,0.0442,Pakistan,Pakistan
687,Papua New Guinea,1981,0,Papua New Guinea,Papua New Guinea
688,Philippines,1981,0.01789,Philippines,Philippines
689,Samoa,1981,0,Samoa,Samoa
690,Singapore,1981,0.00022,Singapore,Singapore
691,Solomon Islands,1981,0,Solomon Islands,Solomon Islands
692,Sri Lanka,1981,0.00005,Sri Lanka,Sri Lanka
693,Taiwan,1981,0.13323,Taiwan,Taiwan
694,Thailand,1981,0.01909,Thailand,Thailand
695,Timor-Leste (East Timor),1981,--,Timor-Leste,Timor-Leste
696,Tonga,1981,0,Tonga,Tonga
697,U.S. Pacific Islands,1981,0,Unknown,Unknown
698,Vanuatu,1981,0,Vanuatu,Vanuatu
699,Vietnam,1981,0.12156,Vietnam,Vietnam
700,Wake Island,1981,0,Unknown,Unknown
701,World,1981,71.37874,Unknown,Unknown
703,North America,1982,16.49711,Unknown,Unknown
704,Bermuda,1982,0,Bermuda,Bermuda
705,Canada,1982,1.05584,Canada,Canada
706,Greenland,1982,0.00003,Greenland,Greenland
707,Mexico,1982,0.11967,Mexico,Mexico
708,Saint Pierre and Miquelon,1982,0,St. Pierre and Miquelon,St. Pierre and Miquelon
709,United States,1982,15.32158,United States,United States
710,Central & South America,1982,0.41728,Unknown,Unknown
711,Antarctica,1982,0,Antarctica,Antarctica
712,Antigua and Barbuda,1982,0,Antigua and Barbuda,Antigua and Barbuda
713,Argentina,1982,0.02814,Argentina,Argentina
714,Aruba,1982,--,Aruba,Aruba
715,"Bahamas, The",1982,0.00038,Bahamas,Bahamas
716,Barbados,1982,0,Barbados,Barbados
717,Belize,1982,0,Belize,Belize
718,Bolivia,1982,0.00003,Bolivia,Bolivia
719,Brazil,1982,0.22929,Brazil,Brazil
720,Cayman Islands,1982,0,Cayman Islands,Cayman Islands
721,Chile,1982,0.03267,Chile,Chile
722,Colombia,1982,0.11013,Colombia,Colombia
723,Costa Rica,1982,0.00003,Costa Rica,Costa Rica
724,Cuba,1982,0.00436,Cuba,Cuba
725,Dominica,1982,0,Dominica,Dominica
726,Dominican Republic,1982,0,Dominican Republic,Dominican Republic
727,Ecuador,1982,0,Ecuador,Ecuador
728,El Salvador,1982,0.00003,El Salvador,El Salvador
729,Falkland Islands (Islas Malvinas),1982,0,Falkland Islands,Falkland Islands
730,French Guiana,1982,0,French Guiana,French Guiana
731,Grenada,1982,0,Grenada,Grenada
732,Guadeloupe,1982,0,Guadeloupe,Guadeloupe
733,Guatemala,1982,0.00011,Guatemala,Guatemala
734,Guyana,1982,0,Guyana,Guyana
735,Haiti,1982,0.00107,Haiti,Haiti
736,Honduras,1982,0,Honduras,Honduras
737,Jamaica,1982,0,Jamaica,Jamaica
738,Martinique,1982,0,Martinique,Martinique
739,Montserrat,1982,0,Montserrat,Montserrat
740,Netherlands Antilles,1982,0,Unknown,Unknown
741,Nicaragua,1982,0,Nicaragua,Nicaragua
742,Panama,1982,0.00008,Panama,Panama
743,Paraguay,1982,0,Paraguay,Paraguay
744,Peru,1982,0.00648,Peru,Peru
745,Puerto Rico,1982,0,Puerto Rico,Puerto Rico
746,Saint Kitts and Nevis,1982,0,St. Kitts and Nevis,St. Kitts and Nevis
747,Saint Lucia,1982,0,St. Lucia,St. Lucia
748,Saint Vincent/Grenadines,1982,0,St. Vincent and the Grenadines,St. Vincent and the Grenadines
749,Suriname,1982,0.00003,Suriname,Suriname
750,Trinidad and Tobago,1982,0,Trinidad and Tobago,Trinidad and Tobago
751,Turks and Caicos Islands,1982,0,Turks and Caicos Islands,Turks and Caicos Islands
752,Uruguay,1982,0.00008,Uruguay,Uruguay
753,Venezuela,1982,0.00438,Venezuela,Venezuela
754,"Virgin Islands,  U.S.",1982,0,United States Virgin Islands,United States Virgin Islands
755,"Virgin Islands, British",1982,0,British Virgin Islands,British Virgin Islands
756,Europe,1982,19.5668,Unknown,Unknown
757,Albania,1982,0.02163,Albania,Albania
758,Austria,1982,0.12397,Austria,Austria
759,Belgium,1982,0.49571,Belgium,Belgium
